loosing_hero_id_1,loosing_hero_id_2,loosing_hero_id_3,loosing_hero_id_4,loosing_hero_id_5,winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
11,15,60,86,87,7,21,22,39,70
27,56,57,59,104,7,31,41,76,100
9,50,80,91,99,16,23,43,54,75
9,16,50,82,103,2,19,65,68,91
3,26,47,93,103,5,13,48,64,99
6,50,66,88,94,35,65,84,104,111
5,53,67,92,97,3,56,65,89,103
2,7,21,34,55,10,27,30,35,65
53,54,74,86,87,5,10,51,63,92
8,21,29,31,71,16,27,33,43,114
15,16,77,79,96,27,53,97,99,101
28,76,84,86,106,10,46,51,85,90
29,30,34,41,101,7,40,60,64,75
5,9,49,63,83,26,48,50,55,73
16,42,43,75,99,4,34,79,83,96
75,87,93,98,106,10,17,84,86,88
22,30,37,90,92,33,45,53,63,81
3,10,60,65,72,20,22,58,67,75
38,47,48,86,92,5,17,53,54,88
7,27,64,65,76,21,71,75,85,106
4,20,22,100,105,14,26,30,48,97
8,74,80,87,100,13,18,20,40,53
5,43,48,51,92,3,67,74,88,98
8,11,37,87,97,28,54,75,84,104
16,57,59,76,111,11,28,41,87,103
1,29,30,70,100,26,47,49,71,99
16,65,67,78,79,13,34,41,68,87
26,55,69,106,112,20,29,34,38,53
4,73,79,92,98,39,50,63,88,93
33,72,86,97,98,11,26,48,51,66
47,69,83,87,96,23,55,64,79,94
13,30,39,50,96,10,20,28,35,68
6,20,25,50,64,39,48,84,87,102
2,10,15,26,103,9,41,76,84,109
7,20,53,72,82,8,27,50,62,97
11,12,26,100,105,39,57,102,106,110
29,50,65,101,109,13,22,32,84,104
7,38,39,48,50,22,30,89,100,110
2,20,25,31,96,5,46,48,51,83
14,20,73,75,100,1,21,26,55,112
65,74,100,109,112,20,25,50,67,88
7,30,74,88,93,26,29,57,97,106
12,74,84,87,96,9,11,51,64,86
7,14,47,54,101,21,28,56,84,87
22,33,44,96,101,1,20,39,65,66
7,15,60,70,86,46,51,54,57,75
13,20,29,72,86,8,26,37,78,87
11,20,68,69,93,19,27,47,65,91
15,43,79,84,103,10,31,74,88,96
34,48,51,60,91,15,17,53,65,101
9,29,36,43,67,31,41,49,64,68
8,9,38,87,107,19,26,72,89,112
23,74,78,79,87,7,9,12,39,98
2,50,69,85,89,6,20,26,35,37
30,38,50,76,80,3,7,21,58,72
2,42,48,50,92,1,27,33,34,60
5,7,21,47,54,31,43,56,63,92
1,16,74,87,97,29,35,49,92,98
8,20,46,85,110,7,17,26,29,109
9,29,31,64,78,46,54,55,83,87
11,15,83,92,99,20,39,63,65,68
8,18,26,66,78,20,29,30,58,106
15,34,84,87,103,7,36,63,64,74
8,14,27,40,80,1,53,73,86,97
21,68,99,100,106,8,39,51,85,87
22,86,87,94,96,8,26,39,50,97
34,35,64,85,103,1,29,40,78,84
2,20,74,109,110,13,26,44,55,103
11,28,53,89,92,51,63,65,73,102
5,9,16,88,96,65,66,69,77,86
47,64,68,76,93,1,15,31,78,84
7,10,31,64,99,48,86,101,103,104
8,26,29,43,63,5,7,25,39,46
39,58,71,83,93,8,11,26,31,96
20,43,54,98,107,26,28,50,74,80
27,43,63,96,101,19,29,45,64,102
13,53,62,67,87,8,30,69,74,107
5,15,43,51,88,40,53,54,66,73
4,26,34,100,112,39,50,51,90,102
11,51,68,100,106,21,27,55,60,72
28,35,63,78,112,16,29,39,48,68
9,28,44,64,103,32,41,48,74,111
9,26,27,43,70,5,8,29,46,51
9,25,41,47,79,29,39,91,101,104
47,51,72,86,87,20,29,63,68,75
